County Name,Median Home Price Q4 2023,Monthly Payment Q4 2023,Monthly Payment Q4 2022
"St. Johns County,  Florida","$508,370 ","$3,140 ","$2,850 "
"Beaufort County,  South Carolina","$505,100 ","$3,120 ","$2,690 "
"Mono County,  California","$503,730 ","$3,110 ","$2,890 "
"Hood River County,  Oregon","$502,650 ","$3,100 ","$2,860 "
"Stafford County,  Virginia","$500,480 ","$3,090 ","$2,780 "
"Miami-Dade County,  Florida","$499,480 ","$3,080 ","$2,630 "
"Wake County,  North Carolina","$495,340 ","$3,060 ","$2,730 "
"Adams County,  Colorado","$494,710 ","$3,050 ","$2,810 "
"Coconino County,  Arizona","$494,010 ","$3,050 ","$2,670 "
"Missoula County,  Montana","$493,830 ","$3,050 ","$2,750 "
"Teton County,  Idaho","$491,730 ","$3,030 ","$2,790 "
"Mendocino County,  California","$490,150 ","$3,020 ","$2,810 "
"Collin County,  Texas","$489,040 ","$3,020 ","$2,760 "
"Yamhill County,  Oregon","$485,920 ","$3,000 ","$2,800 "
"Bristol County,  Rhode Island","$484,670 ","$2,990 ","$2,580 "
"Palm Beach County,  Florida","$484,160 ","$2,990 ","$2,550 "
"Maricopa County,  Arizona","$484,110 ","$2,990 ","$2,710 "
"Cumberland County,  Maine","$482,970 ","$2,980 ","$2,570 "
"Valley County,  Idaho","$482,710 ","$2,980 ","$2,740 "
"Grand County,  Colorado","$482,100 ","$2,970 ","$2,680 "
"Anne Arundel County,  Maryland","$478,290 ","$2,950 ","$2,640 "
"Gilpin County,  Colorado","$476,380 ","$2,940 ","$2,700 "
"Kendall County,  Texas","$475,870 ","$2,940 ","$2,700 "
"El Paso County,  Colorado","$475,670 ","$2,930 ","$2,700 "
"Frederick County,  Maryland","$474,520 ","$2,930 ","$2,630 "
"Polk County,  Oregon","$473,700 ","$2,920 ","$2,630 "
"Chester County,  Pennsylvania","$473,350 ","$2,920 ","$2,640 "
"Fulton County,  Georgia","$472,750 ","$2,920 ","$2,600 "
"Goochland County,  Virginia","$471,950 ","$2,910 ","$2,520 "
"Bristol County,  Massachusetts","$471,890 ","$2,910 ","$2,510 "
"Delaware County,  Ohio","$471,700 ","$2,910 ","$2,550 "
"Stanislaus County,  California","$471,390 ","$2,910 ","$2,620 "
"Middlesex County,  New Jersey","$470,480 ","$2,900 ","$2,560 "
"Alpine County,  California","$470,370 ","$2,900 ","$2,690 "
"Garfield County,  Colorado","$469,660 ","$2,900 ","$2,610 "
"Park County,  Colorado","$469,520 ","$2,900 ","$2,660 "
"Jefferson County,  Washington","$469,130 ","$2,890 ","$2,610 "
"Cache County,  Utah","$468,820 ","$2,890 ","$2,700 "
"Orange County,  North Carolina","$467,730 ","$2,890 ","$2,580 "
"Putnam County,  New York","$466,730 ","$2,880 ","$2,530 "
"Passaic County,  New Jersey","$464,700 ","$2,870 ","$2,520 "
"Yavapai County,  Arizona","$462,600 ","$2,850 ","$2,520 "
"Sutter County,  California","$462,490 ","$2,850 ","$2,520 "
"Santa Fe County,  New Mexico","$462,410 ","$2,850 ","$2,620 "
"Tooele County,  Utah","$460,920 ","$2,840 ","$2,640 "
"Martin County,  Florida","$460,520 ","$2,840 ","$2,520 "
"Yuba County,  California","$459,600 ","$2,840 ","$2,500 "
"Weld County,  Colorado","$459,500 ","$2,840 ","$2,650 "
"Calvert County,  Maryland","$459,350 ","$2,830 ","$2,550 "
"Fredericksburg city,  Virginia","$458,820 ","$2,830 ","$2,550 "
"Fayette County,  Georgia","$455,510 ","$2,810 ","$2,500 "
"Williamson County,  Texas","$455,350 ","$2,810 ","$2,740 "
"Wilson County,  Tennessee","$452,080 ","$2,790 ","$2,540 "
"Cherokee County,  Georgia","$452,020 ","$2,790 ","$2,480 "
"Archuleta County,  Colorado","$452,000 ","$2,790 ","$2,510 "
"Chittenden County,  Vermont","$451,690 ","$2,790 ","$2,460 "
"Clallam County,  Washington","$450,440 ","$2,780 ","$2,510 "
"Davidson County,  Tennessee","$449,900 ","$2,780 ","$2,520 "
"Mason County,  Washington","$448,250 ","$2,770 ","$2,490 "
"Skamania County,  Washington","$446,140 ","$2,750 ","$2,570 "
"Grand County,  Utah","$446,060 ","$2,750 ","$2,480 "
"Bucks County,  Pennsylvania","$445,230 ","$2,750 ","$2,480 "
"Weber County,  Utah","$445,030 ","$2,750 ","$2,540 "
"Queen Anne's County,  Maryland","$444,670 ","$2,740 ","$2,450 "
"Lane County,  Oregon","$442,910 ","$2,730 ","$2,520 "
"Clark County,  Nevada","$442,010 ","$2,730 ","$2,510 "
"Denton County,  Texas","$440,040 ","$2,720 ","$2,490 "
"Carroll County,  Maryland","$438,240 ","$2,700 ","$2,410 "
"York County,  Virginia","$437,830 ","$2,700 ","$2,390 "
"Kittitas County,  Washington","$436,030 ","$2,690 ","$2,430 "
"Humboldt County,  California","$435,490 ","$2,690 ","$2,490 "
"St. Mary's County,  Maryland","$435,310 ","$2,690 ","$2,290 "
"Jackson County,  Oregon","$434,650 ","$2,680 ","$2,470 "
"Broward County,  Florida","$434,030 ","$2,680 ","$2,290 "
"Rockwall County,  Texas","$433,980 ","$2,680 ","$2,450 "
"Sitka City and Borough,  Alaska","$433,750 ","$2,680 ","$2,470 "
"Union County,  North Carolina","$433,070 ","$2,670 ","$2,380 "
"Hillsborough County,  New Hampshire","$432,230 ","$2,670 ","$2,370 "
